merged_image_id,source_archive,source_frame_id,source_ordinal,image_name,width,height,box_count,yolo_label_path,image_file_present,image_sha256
17,şeyda.zip,17,18,aa_poh_galeriler/aa_poh_galeriler_g01_008.jpg,954,636,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g01_008.txt,true,6c676727edc0b4bf5b389170fcfe74e9b7d0554e28e7755e8342854898b08bc6
18,şeyda.zip,18,19,aa_poh_galeriler/aa_poh_galeriler_g01_009.jpg,954,636,0,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g01_009.txt,true,f798f91710e4f6ef289c138c050c2769ade177396cfd5bb905b69bfdaa7e425f
19,şeyda.zip,19,20,aa_poh_galeriler/aa_poh_galeriler_g01_010.jpg,954,636,0,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g01_010.txt,true,96349d4df264ef08b121e6d3fa5811047f9ba2d6a690fc0d6df44452a19d3c18
20,şeyda.zip,20,21,aa_poh_galeriler/aa_poh_galeriler_g01_011.jpg,954,636,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g01_011.txt,true,ef1af106cd59b124e2cfcd1ec140d8225777f5953e847d7250021bede9a57999
21,şeyda.zip,21,22,aa_poh_galeriler/aa_poh_galeriler_g01_012.jpg,954,636,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g01_012.txt,true,40db697e8960af2844f0d2917bcfd997addbec18f479d18a07f003c69b888511
22,şeyda.zip,22,23,aa_poh_galeriler/aa_poh_galeriler_g01_013.jpg,954,636,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g01_013.txt,true,c00e5a97be8fe26a48803f722936e2eb237880f9c80c4494b5c242cbca0ee51f
23,şeyda.zip,23,24,aa_poh_galeriler/aa_poh_galeriler_g01_014.jpg,954,636,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g01_014.txt,true,1099fc350d10cb1ab813dda873fbd1e5fbbf6b2f1e2012f9b62614ae03718037
24,şeyda.zip,24,25,aa_poh_galeriler/aa_poh_galeriler_g01_015.jpg,954,636,0,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g01_015.txt,true,7777615d3909bd0562604f46f42643af38492696394d2bb57c7b59723bb3017f
25,şeyda.zip,25,26,aa_poh_galeriler/aa_poh_galeriler_g01_016.jpg,954,636,0,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g01_016.txt,true,118aa47332ed457fdb2808362d135e4254786cb207761f3502c5d82a3fb6f38b
26,şeyda.zip,26,27,aa_poh_galeriler/aa_poh_galeriler_g01_017.jpg,954,636,0,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g01_017.txt,true,f486cd880ea24c3df7df35fcb55e08758ad236011bc47777c156712d28ccec97
27,şeyda.zip,27,28,aa_poh_galeriler/aa_poh_galeriler_g01_018.jpg,954,636,5,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g01_018.txt,true,25454188ddaaa6fb13e1b403212770bb886209548ca8daf9c0fce33aea04c7cb
28,şeyda.zip,28,29,aa_poh_galeriler/aa_poh_galeriler_g01_019.jpg,954,636,8,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g01_019.txt,true,abc8ee32dadb929445908edd5a126c1a3c768b24f809b317942dc2a6302c7386
29,şeyda.zip,29,30,aa_poh_galeriler/aa_poh_galeriler_g01_020.jpg,954,636,2,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g01_020.txt,true,0f432517de0cfb58e745ba321077eac7fc37ab92404266bc6aeea8aefdb8f96a
30,şeyda.zip,30,31,aa_poh_galeriler/aa_poh_galeriler_g02_002.jpg,954,636,2,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g02_002.txt,true,fccb010f89665e387e2f4beb0cefabacc3c253d3e539b10a8f76004a79f230c6
31,şeyda.zip,31,32,aa_poh_galeriler/aa_poh_galeriler_g02_003.jpg,954,636,0,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g02_003.txt,true,382093a948d46aa9024cb3cac106ccae85b29c535526e9da2e240b1e7b26b11b
32,şeyda.zip,32,33,aa_poh_galeriler/aa_poh_galeriler_g02_009.jpg,954,636,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g02_009.txt,true,d7bfdeee380345a430d18367bba8f5cd1c9d8b476e1ca6809709eea5d5cba5ac
33,şeyda.zip,33,34,aa_poh_galeriler/aa_poh_galeriler_g02_011.jpg,954,636,3,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g02_011.txt,true,420b40b38e3837b0241342f86185828c11f97ef5ad639442c9d73fd0947c1f41
34,şeyda.zip,34,35,aa_poh_galeriler/aa_poh_galeriler_g02_012.jpg,954,636,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g02_012.txt,true,dfd0ee846f9b2518017ad60aee7ec4ed201ebfac5ced5c1b843fb93f35823aa8
35,şeyda.zip,35,36,aa_poh_galeriler/aa_poh_galeriler_g02_014.jpg,954,636,0,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g02_014.txt,true,c88a8c24455f51f881d08ecc4f9f96f4380ac2b9d4fcb7e75f57286bcbdf95d7
36,şeyda.zip,36,37,aa_poh_galeriler/aa_poh_galeriler_g02_016.jpg,954,636,0,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g02_016.txt,true,02310318c7a56bd73eb110b422877109cb7b85b051cb378f847684b292fd5ed8
37,şeyda.zip,37,38,aa_poh_galeriler/aa_poh_galeriler_g02_017.jpg,954,636,0,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g02_017.txt,true,e6bb05757546777c24c98ed81022c6050f185be754b8ccc842fc8d51cdcc9dc4
38,şeyda.zip,38,39,aa_poh_galeriler/aa_poh_galeriler_g02_018.jpg,954,636,0,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g02_018.txt,true,4cc3ef1bd17412569a2401e3959deb36b2d7988a4682218fe52136098f90ca50
39,şeyda.zip,39,40,aa_poh_galeriler/aa_poh_galeriler_g02_019.jpg,954,636,0,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g02_019.txt,true,e00db4561e592ae47bf8cf6a4d9df205480983593c3f143db4964ef6130f18ee
40,şeyda.zip,40,41,aa_poh_galeriler/aa_poh_galeriler_g02_021.jpg,954,636,0,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g02_021.txt,true,dff6dd8a19f8c546bc2381e59f0c4e4e30fbce78264e7e0cdf2216e1dd1d3db5
41,şeyda.zip,41,42,aa_poh_galeriler/aa_poh_galeriler_g02_022.jpg,954,636,0,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g02_022.txt,true,d45e2d609f33e0e720da36df9a2a950b764fdff278bea418f173dd857f998d05
42,şeyda.zip,42,43,aa_poh_galeriler/aa_poh_galeriler_g02_023.jpg,954,636,0,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g02_023.txt,true,18d9b98f60d85c39211a17abe75dd225c79fccbce3ff8f28d41ec2877f587980
43,şeyda.zip,43,44,aa_poh_galeriler/aa_poh_galeriler_g02_024.jpg,954,636,0,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g02_024.txt,true,a92a2da2b3c6813a977d54b322b8c3356103f7ee03ab475c7fa5c32b2cfd587c
44,şeyda.zip,44,45,aa_poh_galeriler/aa_poh_galeriler_g02_025.jpg,954,636,0,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g02_025.txt,true,5c5c612b3c7833e450fb81910dd672c245c498ffc0c2c6fc1bb067c022cc0bd7
45,şeyda.zip,45,46,aa_poh_galeriler/aa_poh_galeriler_g02_028.jpg,954,636,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g02_028.txt,true,53dd65c599688608761897d19dde3253b50cc859f68ce34857c1757c65572634
46,şeyda.zip,46,47,aa_poh_galeriler/aa_poh_galeriler_g02_029.jpg,954,636,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g02_029.txt,true,78cddbf8afa3c9f3f8b8b4d474ba4499190d7b03e0cf12b8e5a0b6ce6f8cc304
47,şeyda.zip,47,48,aa_poh_galeriler/aa_poh_galeriler_g02_030.jpg,954,636,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g02_030.txt,true,80d264e3514aee4a00ea265e89498bb56e1c07c934d20725c5190fcd64890f47
48,şeyda.zip,48,49,aa_poh_galeriler/aa_poh_galeriler_g03_000.jpg,945,630,0,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g03_000.txt,true,eb6d3a105039c00421f5eb08bbd392a72d79c1a7916dd1a737e0e2e790888242
49,şeyda.zip,49,50,aa_poh_galeriler/aa_poh_galeriler_g03_001.jpg,1130,635,0,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g03_001.txt,true,20c0c38563d3b244d14047539bcafb1f7c03f58a17e65c12546d6a221a796f04
50,şeyda.zip,50,51,aa_poh_galeriler/aa_poh_galeriler_g03_002.jpg,954,636,0,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g03_002.txt,true,4c97d88eab81a316c8dc32d3cc2c8ccbb79e38608beff7440487ac10e1ccfe52
51,şeyda.zip,51,52,aa_poh_galeriler/aa_poh_galeriler_g03_003.jpg,954,636,0,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g03_003.txt,true,b8ba98a055de7db6df7e770c6866455910a3d4c3ac169f54b645917f84bbf70d
52,şeyda.zip,52,53,aa_poh_galeriler/aa_poh_galeriler_g03_004.jpg,954,636,0,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g03_004.txt,true,33fbe8dd8a6420b8cfe746a08f2fee9acf77de99d1106f76e9be3f65844e3b1b
53,şeyda.zip,53,54,aa_poh_galeriler/aa_poh_galeriler_g03_005.jpg,954,636,0,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g03_005.txt,true,45d680ab791d2970b2ae5072012e95ee750644f17d2d57eea426580bf6e2833d
54,şeyda.zip,54,55,aa_poh_galeriler/aa_poh_galeriler_g03_006.jpg,954,636,0,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g03_006.txt,true,e183d7cd67a20a5a5c8794b68298d8660c4acedd8800b431a661f2a43a164e3b
55,şeyda.zip,55,56,aa_poh_galeriler/aa_poh_galeriler_g03_007.jpg,953,636,0,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g03_007.txt,true,711bdd94d3f337f366552141b1dd218124c68c2fc3a5c6307156645ce610cf00
56,şeyda.zip,56,57,aa_poh_galeriler/aa_poh_galeriler_g04_000.jpg,1120,630,2,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g04_000.txt,true,a689e34fa52c4a1fd29c49eade148a5b05333f441375323f18567859b2b111b3
57,şeyda.zip,57,58,aa_poh_galeriler/aa_poh_galeriler_g04_001.jpg,779,1024,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g04_001.txt,true,49f9e14d8d1ec9403fef4f504dc8f3869fec72e77b362f3aabcb4f7531d69c37
58,şeyda.zip,58,59,aa_poh_galeriler/aa_poh_galeriler_g04_002.jpg,1024,810,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g04_002.txt,true,5b4f24d22c1156fc31d582fc7d66f8f0e55e14be8d3b15815ce7774be44f5788
59,şeyda.zip,59,60,aa_poh_galeriler/aa_poh_galeriler_g04_003.jpg,1024,820,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g04_003.txt,true,15e7e161ad766e3c60dbc033a7345447920dda0986de0275c8101b0c7f05d15f
60,şeyda.zip,60,61,aa_poh_galeriler/aa_poh_galeriler_g04_004.jpg,1024,683,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g04_004.txt,true,d52ca42474c1a564c273146f9ad16f31fce664b9d30f66b64988c4c65cd5d1c4
61,şeyda.zip,61,62,aa_poh_galeriler/aa_poh_galeriler_g04_005.jpg,907,1024,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g04_005.txt,true,7ae0df4f7bd87767ab82ad4e3358209caab3db45afcadf1bc7ca3f8e2bef34e5
62,şeyda.zip,62,63,aa_poh_galeriler/aa_poh_galeriler_g04_006.jpg,1024,683,6,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g04_006.txt,true,e0494c24c0113ef9f0a75864665976af761eb67d1654b63273220af4842bac2c
63,şeyda.zip,63,64,aa_poh_galeriler/aa_poh_galeriler_g04_007.jpg,1024,683,5,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g04_007.txt,true,66d5de627b779d7e1df3db2231693299f30fbf90077214928974ae676f5ccd6e
64,şeyda.zip,64,65,aa_poh_galeriler/aa_poh_galeriler_g04_008.jpg,1024,683,3,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g04_008.txt,true,f663515a7d21cc2b77576ff0c2121d2d4f2f7d184cda109145b8d61835e8c2f5
65,şeyda.zip,65,66,aa_poh_galeriler/aa_poh_galeriler_g04_009.jpg,1024,683,3,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g04_009.txt,true,0ba7b70eb7f91b56789038e6950190e741b4cd75a25d45f222a293f1133066e3
66,şeyda.zip,66,67,aa_poh_galeriler/aa_poh_galeriler_g04_010.jpg,1024,697,3,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g04_010.txt,true,364adec3606957923b622247db93a9021a933736dde071738a63721d8cb69d4e
67,şeyda.zip,67,68,aa_poh_galeriler/aa_poh_galeriler_g04_011.jpg,1024,683,7,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g04_011.txt,true,40f6455d07bea153761d28fb0e1aff6f66b8bb521b97121ab4feb61292312501
68,şeyda.zip,68,69,aa_poh_galeriler/aa_poh_galeriler_g04_012.jpg,749,1024,7,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g04_012.txt,true,165f670c86ea89d42f36cd83f976c6ac9668e53d173d98dc2b187c4cd5c92a92
69,şeyda.zip,69,70,aa_poh_galeriler/aa_poh_galeriler_g04_013.jpg,1024,683,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g04_013.txt,true,b8eade05e8c3c00b8b556cd96fc8b20282fa521a06c4795d0f4661207cc08280
70,şeyda.zip,70,71,aa_poh_galeriler/aa_poh_galeriler_g04_014.jpg,1024,683,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g04_014.txt,true,3706fcdeae61343ae39933f5c0eaa93659cec8fa9f9fa55739b64ca20ad5ecf3
71,şeyda.zip,71,72,aa_poh_galeriler/aa_poh_galeriler_g04_015.jpg,1024,683,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g04_015.txt,true,1596cb6950b0157692d9fe5ac25f536e1f1ce31a05c18a8740aae80ce5e7a0ef
72,şeyda.zip,72,73,aa_poh_galeriler/aa_poh_galeriler_g04_016.jpg,1024,716,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g04_016.txt,true,337a913ccceb2b61073e9f3a3f82e1112748b52402507b8507f6d49e74865496
73,şeyda.zip,73,74,aa_poh_galeriler/aa_poh_galeriler_g04_017.jpg,1024,683,2,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g04_017.txt,true,51aab3f458e82e489e6872b6fd3fff3532110cad32c3dca6339a1b101f4db9a1
74,şeyda.zip,74,75,aa_poh_galeriler/aa_poh_galeriler_g04_018.jpg,1024,683,2,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g04_018.txt,true,9f4abc53316bbfefe9c49c9958d8dee06302062da506c4eff8f79f78b902888f
75,şeyda.zip,75,76,aa_poh_galeriler/aa_poh_galeriler_g04_019.jpg,1024,683,2,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g04_019.txt,true,50d865a277bd43110cd19cce54ae6be6db1beaa4e3a75e9561fda1adf07374c6
76,şeyda.zip,76,77,aa_poh_galeriler/aa_poh_galeriler_g04_020.jpg,1024,683,2,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g04_020.txt,true,d23fc06a968fd8680801ce70a474b91c1ced591970c833cb6adf964eb7810633
77,şeyda.zip,77,78,aa_poh_galeriler/aa_poh_galeriler_g04_021.jpg,1024,683,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g04_021.txt,true,840ebb615530a7c6cda30d2fc3d674f48a31690b7ef3fc21a4f79ca30e96a239
78,şeyda.zip,78,79,aa_poh_galeriler/aa_poh_galeriler_g04_022.jpg,1024,683,2,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g04_022.txt,true,5d28757c14689ae86a3a9764d12925d85e6b09191dd1783def09d78b4d87299c
79,şeyda.zip,79,80,aa_poh_galeriler/aa_poh_galeriler_g04_023.jpg,1024,768,2,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g04_023.txt,true,fce5c37f4400ba0c41e5dad08529331fed8c394cc15b9e6139bddd04de4c6e69
80,şeyda.zip,80,81,aa_poh_galeriler/aa_poh_galeriler_g04_024.jpg,1024,683,3,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g04_024.txt,true,b613097cc8921c0d5274d8f5407a56cec37d5d83deb4f7f386a027181b6d77c5
81,şeyda.zip,81,82,aa_poh_galeriler/aa_poh_galeriler_g04_025.jpg,1024,683,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g04_025.txt,true,2600695004ac5071bc0610c9d388c6f37956ffd790de403a99b86c48e959e43e
82,şeyda.zip,82,83,aa_poh_galeriler/aa_poh_galeriler_g04_026.jpg,1024,683,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g04_026.txt,true,d0c3b5bc2d17a90cbd7c92518fdfb69edaf0ef15962689253b17192342be65b3
83,şeyda.zip,83,84,aa_poh_galeriler/aa_poh_galeriler_g04_027.jpg,1024,733,2,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g04_027.txt,true,7be8c04d578d620478a1e78fde07dd44cb6b1d0bd62ac720ed36586c166979e3
84,şeyda.zip,84,85,aa_poh_galeriler/aa_poh_galeriler_g04_028.jpg,1024,732,3,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g04_028.txt,true,3e9ff5792625c62e964587c65a224cfbacada30b3f71728c19e35b51c70c19f2
85,şeyda.zip,85,86,aa_poh_galeriler/aa_poh_galeriler_g04_029.jpg,1024,729,3,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g04_029.txt,true,9c62ff0814ee924c90f4855266bb67ba37b3295f8c6219139d04a75e5f8c22ac
86,şeyda.zip,86,87,aa_poh_galeriler/aa_poh_galeriler_g04_030.jpg,1024,754,3,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g04_030.txt,true,b46851caf42571b754d858dc065e0baea2a9da7a4c7222d1b0b3bae654b2aaa2
87,şeyda.zip,87,88,aa_poh_galeriler/aa_poh_galeriler_g05_000.jpg,1120,629,2,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g05_000.txt,true,9ea435b16b4e533e228907dbd2848f6666e6bd1bfd1cfc9c7f68a5dfeb1735a0
88,şeyda.zip,88,89,aa_poh_galeriler/aa_poh_galeriler_g05_001.jpg,1130,635,3,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g05_001.txt,true,a7aaf0adcf5633f4affdbe34eaa3131f262f278b37633dff125d453527ab4780
89,şeyda.zip,89,90,aa_poh_galeriler/aa_poh_galeriler_g05_002.jpg,954,636,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g05_002.txt,true,66e2b5a86532966a8be603d73e35e30a641969b77d4b8d86fa4c4648def04e84
90,şeyda.zip,90,91,aa_poh_galeriler/aa_poh_galeriler_g05_003.jpg,954,636,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g05_003.txt,true,05f9e8418e6ca4c4c869bac556a914906ed3aa18342087a96f56c8221e3f6235
91,şeyda.zip,91,92,aa_poh_galeriler/aa_poh_galeriler_g05_004.jpg,954,636,4,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g05_004.txt,true,0a4b8c5273aefeb74f1599b1a8dde94ca7a5660c97570cf26456f4078640bd97
92,şeyda.zip,92,93,aa_poh_galeriler/aa_poh_galeriler_g05_005.jpg,954,636,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g05_005.txt,true,9ef7f52dea378ba373ee5682bb563d6a623db987acf3214c4dfba442e3a1b2d7
93,şeyda.zip,93,94,aa_poh_galeriler/aa_poh_galeriler_g05_006.jpg,954,636,3,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g05_006.txt,true,535eeb7f2f589f794688d39ed1ef21116090ced2e9c84afc8c8f9dd26e219d55
94,şeyda.zip,94,95,aa_poh_galeriler/aa_poh_galeriler_g05_007.jpg,954,636,0,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g05_007.txt,true,295b75ece0fa873a9df91b5046819b250a28b792162f09c1ca818e8e2d0558f4
95,şeyda.zip,95,96,aa_poh_galeriler/aa_poh_galeriler_g05_008.jpg,954,636,0,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g05_008.txt,true,64f99ec6fc32a3a56b0b2cfd601cf8bae420bf27981a1db3fe97eafff240429b
96,şeyda.zip,96,97,aa_poh_galeriler/aa_poh_galeriler_g05_009.jpg,954,636,2,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g05_009.txt,true,3dbfc00105143f0688addf8c3a68630dbe48b1078d6a08ddeb67c9f13f7a6c94
97,şeyda.zip,97,98,aa_poh_galeriler/aa_poh_galeriler_g05_010.jpg,988,636,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g05_010.txt,true,94ec6dbfb6be35c20e9305f733102385ec7faf8275ae22492f06db306596e5bb
98,şeyda.zip,98,99,aa_poh_galeriler/aa_poh_galeriler_g05_011.jpg,953,636,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g05_011.txt,true,46f8d856f7167465319c93ac38207ec17d0088c2ea7ed92f4235c47c68d5c282
99,şeyda.zip,99,100,aa_poh_galeriler/aa_poh_galeriler_g05_012.jpg,954,636,3,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g05_012.txt,true,283a1d1f4afa3b223cf0a67b4382b950ee0cad6b82321bc0eef360150513e18e
100,şeyda.zip,100,101,aa_poh_galeriler/aa_poh_galeriler_g05_013.jpg,954,636,2,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g05_013.txt,true,3b573180d46bd1db246f2290554c9f1a3b0df01c8eb846ad782581c657b1a3bc
101,şeyda.zip,101,102,aa_poh_galeriler/aa_poh_galeriler_g05_014.jpg,954,636,2,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g05_014.txt,true,05348ad33c6e1e6217e5747fef53e57fbf06afc4bbe9973671ab79a0ac4384eb
102,şeyda.zip,102,103,aa_poh_galeriler/aa_poh_galeriler_g05_015.jpg,954,636,1,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g05_015.txt,true,aa8e0611f434c44dd47b0529351af21382e8f73a9aaa07eeb065c4c9a3031186
103,şeyda.zip,103,104,aa_poh_galeriler/aa_poh_galeriler_g05_016.jpg,954,636,0,yolo/labels/aa_poh_galeriler/aa_poh_galeriler_g05_016.txt,true,82b08d549f68b4055e6b4aedc603851a4d6884da02b81697b55dfbb053efbaa5
